date,abandoned_avg,abandonseconds_avg,inQueueSeconds_avg,HandleTime,minute,hour,day,week
5/1/2018 7:00,0,0,3.841463415,524.203252,9,7,Tue,18
5/1/2018 11:00,0,0,66.21621622,658.7956349,11,11,Tue,18
5/1/2018 13:00,0,0,46.65898618,635.9051546,11,13,Tue,18
5/1/2018 14:00,0,0,27.70765661,634.7238659,11,14,Tue,18
5/1/2018 16:00,0,0,40.92788462,604.7218391,10,16,Tue,18
5/1/2018 17:00,0,0,112.1793313,693.5551471,12,17,Tue,18
5/2/2018 7:00,0,0,3.776595745,524.7755102,9,7,Wed,18
5/2/2018 11:00,0,0,4.545454545,695.188862,12,11,Wed,18
5/2/2018 13:00,0,0,2.621287129,645.0296496,11,13,Wed,18
5/2/2018 14:00,0,0,1.91184573,591.0099751,10,14,Wed,18
5/2/2018 16:00,0,0,2.916184971,694.1267606,12,16,Wed,18
5/2/2018 17:00,0,0,161.6982456,687.9026549,11,17,Wed,18
5/3/2018 7:00,0,0,3.353846154,548.423913,9,7,Thu,18
5/3/2018 11:00,0,0,1.515909091,577.7391304,10,11,Thu,18
5/3/2018 13:00,0,0,20.44588745,643.1161731,11,13,Thu,18
5/3/2018 14:00,0,0,6.72406181,580.6253102,10,14,Thu,18
5/3/2018 16:00,0,0,59.64229765,502.6888889,8,16,Thu,18
5/3/2018 17:00,0,0,48.10714286,625.3558719,10,17,Thu,18
5/4/2018 7:00,0,0,2.406593407,475.3913043,8,7,Fri,18
5/4/2018 11:00,0,0,3.087281796,528.6436782,9,11,Fri,18
5/4/2018 13:00,0,0,47.73177083,568.349162,10,13,Fri,18
5/4/2018 14:00,0.006993007,0.230769231,30.48251748,530.0893617,9,14,Fri,18
5/4/2018 16:00,0,0,18.08641975,708.3457249,12,16,Fri,18
5/4/2018 17:00,0,0,248.990566,586.9872611,10,17,Fri,18
5/7/2018 7:00,0,0,8.008,540.5363128,9,7,Mon,19
5/7/2018 11:00,0,0,244.6732143,630.3266129,10,11,Mon,19
5/7/2018 13:00,0,0,198.3395062,696.4874477,12,13,Mon,19
5/7/2018 14:00,0,0,129.8512397,672.6826087,11,14,Mon,19
5/7/2018 16:00,0,0,35.1784897,650.4591346,11,16,Mon,19
5/7/2018 17:00,0,0,13.38659794,642.829582,11,17,Mon,19
5/8/2018 7:00,0,0,2.947916667,494.2244898,8,7,Tue,19
5/8/2018 11:00,0,0,10.35915493,641.182266,11,11,Tue,19
5/8/2018 13:00,0,0,4.104761905,663.147619,11,13,Tue,19
5/8/2018 14:00,0,0,17.01089325,599.6599496,10,14,Tue,19
5/8/2018 16:00,0,0,5.044378698,647.4485981,11,16,Tue,19
5/8/2018 17:00,0,0,13.79136691,703.4488889,12,17,Tue,19
5/9/2018 7:00,0,0,7.975609756,485.3663366,8,7,Wed,19
5/9/2018 11:00,0,0,10.84457478,646.1612903,11,11,Wed,19
5/9/2018 13:00,0,0,7.194444444,605.8123167,10,13,Wed,19
5/9/2018 14:00,0,0,7.096256684,627.8156566,10,14,Wed,19
5/9/2018 16:00,0,0,26.28888889,759.6950355,13,16,Wed,19
5/9/2018 17:00,0,0,82.25,681.7608696,11,17,Wed,19
5/10/2018 7:00,0,0,2.555555556,573.4957265,10,7,Thu,19
5/10/2018 11:00,0,0,43.0744186,580.9673025,10,11,Thu,19
5/10/2018 13:00,0,0,4.29558011,641.9226519,11,13,Thu,19
5/10/2018 14:00,0,0,1.616099071,573.6851852,10,14,Thu,19
5/10/2018 16:00,0,0,6.952380952,563.08,9,16,Thu,19
5/10/2018 17:00,0,0,1.633333333,663.8055556,11,17,Thu,19
5/11/2018 7:00,0,0,4.910447761,485.0877193,8,7,Fri,19
5/11/2018 11:00,0,0,28.07880435,660.9790698,11,11,Fri,19
5/11/2018 13:00,0,0,17.44051447,612.1636364,10,13,Fri,19
5/11/2018 14:00,0,0,24.22169811,669.1889535,11,14,Fri,19
5/11/2018 16:00,0,0,12.41786744,678.1799308,11,16,Fri,19
5/11/2018 17:00,0,0,3.619565217,697.0096154,12,17,Fri,19
5/14/2018 7:00,0,0,2.18627451,545.1575342,9,7,Mon,20
5/14/2018 11:00,0,0,76.08506944,635.4963504,11,11,Mon,20
5/14/2018 13:00,0,0,50.72124756,690.4541752,12,13,Mon,20
5/14/2018 14:00,0,0,49.79032258,638.1453488,11,14,Mon,20
5/14/2018 16:00,0,0,37.46346555,577.2754821,10,16,Mon,20
5/14/2018 17:00,0,0,36.69273743,642.8123167,11,17,Mon,20
5/15/2018 7:00,0,0,4.617021277,490.0942029,8,7,Tue,20
5/15/2018 11:00,0,0,4.287169043,618.3162584,10,11,Tue,20
5/15/2018 13:00,0,0,9.807439825,703.6666667,12,13,Tue,20
5/15/2018 14:00,0,0,78.14814815,671.387013,11,14,Tue,20
5/15/2018 16:00,0,0,12.55116279,634.9613402,11,16,Tue,20
5/15/2018 17:00,0,0,11.04696133,607.6666667,10,17,Tue,20
5/16/2018 7:00,0,0,81.48837209,582.6734694,10,7,Wed,20
5/16/2018 11:00,0,0,9.044226044,638.9747191,11,11,Wed,20
5/16/2018 13:00,0,0,4.553314121,630.5722892,11,13,Wed,20
5/16/2018 14:00,0,0,3.160714286,638.5099502,11,14,Wed,20
5/16/2018 16:00,0,0,92.88050314,663.3047619,11,16,Wed,20
5/16/2018 17:00,0,0,180.1715686,670.8125,11,17,Wed,20
5/17/2018 7:00,0,0,4.896103896,548.1775701,9,7,Thu,20
5/17/2018 11:00,0,0,1.769620253,583.6140351,10,11,Thu,20
5/17/2018 13:00,0,0,2.769423559,614.25,10,13,Thu,20
5/17/2018 14:00,0,0,42.90625,619.7146667,10,14,Thu,20
5/17/2018 16:00,0,0,35.47252747,643.1314103,11,16,Thu,20
5/17/2018 17:00,0,0,40.93312102,649.0653061,11,17,Thu,20
5/18/2018 7:00,0,0,5.594594595,519.462963,9,7,Fri,20
5/18/2018 11:00,0,0,20.25225225,642.6635514,11,11,Fri,20
5/18/2018 13:00,0,0,21.34332425,612.5529101,10,13,Fri,20
5/18/2018 14:00,0,0,46.03307888,679.9031477,11,14,Fri,20
5/18/2018 16:00,0,0,27.75,701.0442478,12,16,Fri,20
