,date,calls
1,5/1/2018 6:00,0
2,5/1/2018 7:00,123
3,5/1/2018 11:00,504
4,5/1/2018 13:00,485
5,5/1/2018 14:00,507
6,5/1/2018 16:00,435
7,5/1/2018 17:00,272
8,5/1/2018 20:00,0
9,5/1/2018 21:00,0
10,5/2/2018 6:00,0
11,5/2/2018 7:00,98
12,5/2/2018 11:00,413
13,5/2/2018 13:00,371
14,5/2/2018 14:00,401
15,5/2/2018 16:00,355
16,5/2/2018 17:00,226
17,5/2/2018 20:00,0
18,5/3/2018 2:00,0
19,5/3/2018 6:00,0
20,5/3/2018 7:00,92
21,5/3/2018 11:00,529
22,5/3/2018 13:00,439
23,5/3/2018 14:00,403
24,5/3/2018 16:00,315
25,5/3/2018 17:00,281
26,5/3/2018 21:00,0
27,5/4/2018 6:00,0
28,5/4/2018 7:00,92
29,5/4/2018 11:00,348
30,5/4/2018 13:00,358
31,5/4/2018 14:00,235
32,5/4/2018 16:00,269
33,5/4/2018 17:00,157
34,5/4/2018 20:00,0
35,5/4/2018 21:00,0
36,5/5/2018 11:00,0
37,5/5/2018 14:00,0
38,5/5/2018 16:00,0
39,5/5/2018 17:00,0
40,5/5/2018 20:00,0
41,5/5/2018 21:00,0
42,5/6/2018 6:00,0
43,5/6/2018 11:00,0
44,5/6/2018 14:00,0
45,5/6/2018 16:00,0
46,5/6/2018 17:00,0
47,5/6/2018 21:00,0
48,5/7/2018 6:00,0
49,5/7/2018 7:00,179
50,5/7/2018 11:00,496
51,5/7/2018 13:00,478
52,5/7/2018 14:00,460
53,5/7/2018 16:00,416
54,5/7/2018 17:00,311
55,5/7/2018 20:00,0
56,5/7/2018 21:00,0
57,5/8/2018 2:00,0
58,5/8/2018 6:00,0
59,5/8/2018 7:00,147
60,5/8/2018 11:00,406
61,5/8/2018 13:00,420
62,5/8/2018 14:00,397
63,5/8/2018 16:00,321
64,5/8/2018 17:00,225
65,5/8/2018 20:00,0
66,5/8/2018 21:00,0
67,5/9/2018 1:00,0
68,5/9/2018 7:00,101
69,5/9/2018 11:00,310
70,5/9/2018 13:00,341
71,5/9/2018 14:00,396
72,5/9/2018 16:00,282
73,5/9/2018 17:00,184
74,5/9/2018 20:00,0
75,5/9/2018 21:00,0
76,5/10/2018 4:00,0
77,5/10/2018 6:00,0
78,5/10/2018 7:00,117
79,5/10/2018 11:00,367
80,5/10/2018 13:00,362
81,5/10/2018 14:00,324
82,5/10/2018 16:00,300
83,5/10/2018 17:00,288
84,5/10/2018 20:00,0
85,5/10/2018 21:00,0
86,5/11/2018 6:00,0
87,5/11/2018 7:00,114
88,5/11/2018 11:00,430
89,5/11/2018 13:00,385
90,5/11/2018 14:00,344
91,5/11/2018 16:00,289
92,5/11/2018 17:00,208
93,5/11/2018 20:00,0
94,5/11/2018 21:00,0
95,5/12/2018 6:00,0
96,5/12/2018 7:00,0
97,5/12/2018 11:00,0
98,5/12/2018 13:00,0
99,5/12/2018 14:00,0
100,5/12/2018 16:00,0
101,5/12/2018 17:00,0
102,5/12/2018 20:00,0
103,5/12/2018 21:00,0
104,5/13/2018 11:00,0
105,5/13/2018 13:00,0
106,5/13/2018 14:00,0
107,5/13/2018 16:00,0
108,5/13/2018 21:00,0
109,5/14/2018 4:00,0
110,5/14/2018 7:00,146
111,5/14/2018 11:00,548
112,5/14/2018 13:00,491
113,5/14/2018 14:00,516
114,5/14/2018 16:00,363
115,5/14/2018 17:00,341
116,5/14/2018 20:00,0
117,5/14/2018 21:00,0
118,5/15/2018 6:00,0
119,5/15/2018 7:00,138
120,5/15/2018 11:00,449
121,5/15/2018 13:00,393
122,5/15/2018 14:00,385
123,5/15/2018 16:00,388
124,5/15/2018 17:00,297
125,5/15/2018 20:00,0
126,5/15/2018 21:00,0
127,5/16/2018 2:00,0
128,5/16/2018 6:00,0
129,5/16/2018 7:00,98
130,5/16/2018 11:00,356
131,5/16/2018 13:00,332
132,5/16/2018 14:00,402
133,5/16/2018 16:00,315
134,5/16/2018 17:00,224
135,5/16/2018 20:00,0
136,5/16/2018 21:00,0
137,5/17/2018 7:00,107
138,5/17/2018 11:00,513
139,5/17/2018 13:00,380
140,5/17/2018 14:00,375
141,5/17/2018 16:00,312
142,5/17/2018 17:00,245
143,5/17/2018 20:00,0
144,5/17/2018 21:00,0
145,5/18/2018 2:00,0
146,5/18/2018 4:00,0
147,5/18/2018 6:00,0
148,5/18/2018 7:00,108
149,5/18/2018 11:00,428
150,5/18/2018 13:00,378
151,5/18/2018 14:00,413
152,5/18/2018 16:00,226
153,5/18/2018 17:00,196
154,5/18/2018 20:00,0
155,5/19/2018 11:00,0
156,5/19/2018 13:00,0
157,5/19/2018 14:00,0
158,5/19/2018 16:00,0
159,5/19/2018 17:00,0
160,5/19/2018 20:00,0
161,5/19/2018 21:00,0
162,5/20/2018 7:00,0
163,5/20/2018 11:00,0
164,5/20/2018 14:00,0
165,5/20/2018 16:00,0
166,5/20/2018 17:00,0
167,5/20/2018 20:00,0
168,5/20/2018 21:00,0
169,5/21/2018 7:00,129
170,5/21/2018 11:00,410
171,5/21/2018 13:00,493
172,5/21/2018 14:00,562
173,5/21/2018 16:00,415
174,5/21/2018 17:00,346
175,5/21/2018 20:00,0
176,5/21/2018 21:00,0
177,5/22/2018 7:00,121
178,5/22/2018 11:00,469
179,5/22/2018 13:00,401
180,5/22/2018 14:00,414
181,5/22/2018 16:00,365
182,5/22/2018 17:00,244
183,5/22/2018 20:00,0
184,5/23/2018 6:00,0
185,5/23/2018 7:00,90
186,5/23/2018 11:00,363
187,5/23/2018 13:00,348
188,5/23/2018 14:00,419
189,5/23/2018 16:00,289
190,5/23/2018 17:00,258
191,5/23/2018 20:00,0
192,5/23/2018 21:00,0
193,5/24/2018 6:00,0
194,5/24/2018 7:00,109
195,5/24/2018 11:00,406
196,5/24/2018 13:00,401
197,5/24/2018 14:00,375
198,5/24/2018 16:00,363
199,5/24/2018 17:00,235
200,5/24/2018 20:00,0
201,5/24/2018 21:00,0
202,5/25/2018 6:00,0
203,5/25/2018 7:00,76
204,5/25/2018 11:00,416
205,5/25/2018 13:00,464
206,5/25/2018 14:00,321
207,5/25/2018 16:00,275
208,5/25/2018 17:00,210
209,5/26/2018 7:00,0
210,5/26/2018 11:00,0
211,5/26/2018 13:00,0
212,5/26/2018 16:00,0
213,5/26/2018 17:00,0
214,5/26/2018 20:00,0
215,5/27/2018 6:00,0
216,5/27/2018 11:00,0
217,5/27/2018 13:00,0
218,5/27/2018 14:00,0
219,5/27/2018 21:00,0
220,5/28/2018 2:00,0
221,5/28/2018 7:00,0
222,5/28/2018 11:00,0
223,5/28/2018 13:00,0
224,5/28/2018 14:00,0
225,5/28/2018 16:00,0
226,5/28/2018 17:00,0
227,5/28/2018 20:00,0
228,5/29/2018 6:00,0
229,5/29/2018 7:00,148
230,5/29/2018 11:00,602
231,5/29/2018 13:00,603
232,5/29/2018 14:00,656
233,5/29/2018 16:00,467
234,5/29/2018 17:00,320
235,5/29/2018 20:00,0
236,5/30/2018 6:00,0
237,5/30/2018 7:00,154
238,5/30/2018 11:00,535
239,5/30/2018 13:00,511
240,5/30/2018 14:00,525
241,5/30/2018 16:00,440
242,5/30/2018 17:00,282
243,5/30/2018 20:00,0
244,5/30/2018 21:00,0
245,5/31/2018 6:00,0
246,5/31/2018 7:00,86
247,5/31/2018 11:00,523
248,5/31/2018 13:00,468
249,5/31/2018 14:00,445
250,5/31/2018 16:00,361
251,5/31/2018 17:00,254
252,5/31/2018 20:00,0
253,5/31/2018 21:00,0
254,6/1/2018 6:00,0
255,6/1/2018 7:00,135
256,6/1/2018 11:00,488
257,6/1/2018 13:00,476
258,6/1/2018 14:00,494
259,6/1/2018 16:00,375
260,6/1/2018 17:00,252
261,6/1/2018 20:00,0
262,6/2/2018 4:00,0
263,6/2/2018 7:00,0
264,6/2/2018 11:00,0
265,6/2/2018 13:00,0
266,6/2/2018 14:00,0
267,6/2/2018 16:00,0
268,6/2/2018 20:00,0
269,6/3/2018 1:00,0
270,6/3/2018 6:00,0
271,6/3/2018 7:00,0
272,6/3/2018 11:00,0
273,6/3/2018 13:00,0
274,6/3/2018 14:00,0
275,6/3/2018 17:00,0
276,6/3/2018 20:00,0
277,6/3/2018 21:00,0
278,6/11/2018 7:00,122
279,6/11/2018 11:00,494
280,6/11/2018 13:00,497
281,6/11/2018 14:00,556
282,6/11/2018 16:00,400
283,6/11/2018 17:00,297
284,6/11/2018 20:00,0
285,6/11/2018 21:00,0
286,6/12/2018 6:00,0
287,6/12/2018 7:00,139
288,6/12/2018 11:00,580
289,6/12/2018 13:00,470
290,6/12/2018 14:00,478
291,6/12/2018 16:00,389
292,6/12/2018 17:00,246
293,6/12/2018 20:00,0
294,6/12/2018 21:00,0
295,6/13/2018 4:00,0
296,6/13/2018 6:00,0
297,6/13/2018 7:00,139
298,6/13/2018 11:00,580
299,6/13/2018 13:00,470
300,6/13/2018 14:00,478
301,6/13/2018 16:00,389
302,6/13/2018 17:00,246
303,6/13/2018 20:00,0
304,6/13/2018 21:00,0
305,6/14/2018 2:00,0
306,6/14/2018 6:00,0
307,6/14/2018 7:00,103
308,6/14/2018 11:00,475
309,6/14/2018 13:00,404
310,6/14/2018 14:00,386
311,6/14/2018 16:00,361
312,6/14/2018 17:00,217
313,6/14/2018 20:00,0
314,6/14/2018 21:00,0
315,6/15/2018 1:00,0
316,6/15/2018 4:00,0
317,6/15/2018 6:00,0
318,6/15/2018 7:00,134
319,6/15/2018 11:00,490
320,6/15/2018 13:00,337
321,6/15/2018 14:00,343
322,6/15/2018 16:00,248
323,6/15/2018 17:00,203
324,6/15/2018 20:00,0
325,6/16/2018 6:00,0
326,6/16/2018 7:00,0
327,6/16/2018 11:00,0
328,6/16/2018 13:00,0
329,6/16/2018 14:00,0
330,6/16/2018 16:00,0
331,6/16/2018 17:00,0
332,6/17/2018 2:00,0
333,6/17/2018 6:00,0
334,6/17/2018 7:00,0
335,6/17/2018 11:00,0
336,6/17/2018 14:00,0
337,6/17/2018 21:00,0
338,6/18/2018 4:00,0
339,6/18/2018 6:00,0
340,6/18/2018 7:00,139
341,6/18/2018 11:00,528
342,6/18/2018 13:00,464
343,6/18/2018 14:00,486
344,6/18/2018 16:00,346
345,6/18/2018 17:00,232
346,6/18/2018 20:00,0
347,6/18/2018 21:00,0
348,6/19/2018 6:00,0
349,6/19/2018 7:00,98
350,6/19/2018 11:00,432
351,6/19/2018 13:00,386
352,6/19/2018 14:00,354
353,6/19/2018 16:00,405
354,6/19/2018 17:00,193
355,6/19/2018 20:00,0
356,6/20/2018 6:00,0
357,6/20/2018 7:00,120
358,6/20/2018 11:00,421
359,6/20/2018 13:00,403
360,6/20/2018 14:00,467
361,6/20/2018 16:00,327
362,6/20/2018 17:00,224
363,6/20/2018 21:00,0
364,6/21/2018 6:00,0
365,6/21/2018 7:00,77
366,6/21/2018 11:00,390
367,6/21/2018 13:00,379
368,6/21/2018 14:00,413
369,6/21/2018 16:00,309
370,6/21/2018 17:00,243
371,6/22/2018 7:00,105
372,6/22/2018 11:00,436
373,6/22/2018 13:00,391
374,6/22/2018 14:00,396
375,6/22/2018 16:00,271
376,6/22/2018 17:00,179
377,6/22/2018 20:00,0
378,6/23/2018 4:00,0
379,6/23/2018 6:00,0
380,6/23/2018 7:00,0
381,6/23/2018 11:00,0
382,6/23/2018 13:00,0
383,6/23/2018 14:00,0
384,6/23/2018 16:00,0
385,6/23/2018 17:00,0
386,6/24/2018 1:00,0
387,6/24/2018 11:00,0
388,6/24/2018 13:00,0
389,6/24/2018 17:00,0
390,6/24/2018 20:00,0
391,6/25/2018 6:00,0
392,6/25/2018 7:00,125
393,6/25/2018 11:00,502
394,6/25/2018 13:00,566
395,6/25/2018 14:00,533
396,6/25/2018 16:00,353
397,6/25/2018 17:00,267
398,6/25/2018 20:00,0
399,6/25/2018 21:00,0
400,6/26/2018 6:00,0
401,6/26/2018 7:00,151
402,6/26/2018 11:00,510
403,6/26/2018 13:00,448
404,6/26/2018 14:00,512
405,6/26/2018 16:00,380
406,6/26/2018 17:00,252
407,6/26/2018 20:00,0
408,6/27/2018 2:00,0
409,6/27/2018 4:00,0
410,6/27/2018 6:00,0
411,6/27/2018 7:00,97
412,6/27/2018 11:00,457
413,6/27/2018 13:00,431
414,6/27/2018 14:00,458
415,6/27/2018 16:00,332
416,6/27/2018 17:00,203
417,6/27/2018 20:00,0
418,6/28/2018 4:00,0
419,6/28/2018 7:00,103
420,6/28/2018 11:00,548
421,6/28/2018 13:00,449
422,6/28/2018 14:00,444
423,6/28/2018 16:00,333
424,6/28/2018 17:00,260
425,6/28/2018 21:00,0
